,title,description,category_name,thumbnail,url,category_title_description,Text,k_means
10,Christmas Sounds Better This Year,Every Christmas the same old songs are played so we got some talented people to compose new ones. In this heart-warming musical adventure we celebrate the Australian Christmas spirit at its very best.,documentary,https://cdn.iview.abc.net.au/thumbs/i/rn/RN1811H028S00_5de5e5f7b6f81.jpg,https://iview.abc.net.au/show/christmas-sounds-better-this-year/video/RN1811H028S00,documentary Christmas Sounds Better This Year Every Christmas the same old songs are played so we got some talented people to compose new ones. In this heart-warming musical adventure we celebrate the Australian Christmas spirit at its very best.,documentary christmas sound better year every christmas old song played got talented people compose new one heartwarming musical adventure celebrate australian christmas spirit best,9
11,The Lost Aviator,"Set in the Golden Age of Aviation, Andrew Lancaster follows the life and times of his great uncle, Captain Bill Lancaster, and uncovers a fascinating tale of adventure, obsession, love and a sensational murder trial. (2014)",documentary,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2779A001S00_609214194a2df_1280.jpg,https://iview.abc.net.au/show/lost-aviator/video/ZW2779A001S00,"documentary The Lost Aviator Set in the Golden Age of Aviation, Andrew Lancaster follows the life and times of his great uncle, Captain Bill Lancaster, and uncovers a fascinating tale of adventure, obsession, love and a sensational murder trial. (2014)",documentary lost aviator set golden age aviation andrew lancaster follows life time great uncle captain bill lancaster uncovers fascinating tale adventure obsession love sensational murder trial 2014,2
12,Greta Thunberg: A Year To Change The World,"Climate activist Greta Thunberg takes a year off school to explore the science of global warming and challenge world leaders, calling for action on climate change.",documentary,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2761A_6111e0194b04a_1280.jpg,https://iview.abc.net.au/show/greta-thunberg-a-year-to-change-the-world,"documentary Greta Thunberg: A Year To Change The World Climate activist Greta Thunberg takes a year off school to explore the science of global warming and challenge world leaders, calling for action on climate change.",documentary greta thunberg year change world climate activist greta thunberg take year school explore science global warming challenge world leader calling action climate change,5
13,Old People's Home For 4 Year Olds,A unique social experiment that brings together elderly people in a retirement community with a group of 4-year-olds. Could this encounter between young and old help transform the lives of the elderly?,documentary,https://cdn.iview.abc.net.au/thumbs/i/do/DO1803H_5d536795d8237_1280.jpg,https://iview.abc.net.au/show/old-people-s-home-for-4-year-olds,documentary Old People's Home For 4 Year Olds A unique social experiment that brings together elderly people in a retirement community with a group of 4-year-olds. Could this encounter between young and old help transform the lives of the elderly?,documentary old people home 4 year old unique social experiment brings together elderly people retirement community group 4yearolds could encounter young old help transform life elderly,2
14,Australia Remastered: Nature's Great Divide,The hard line that separates the natural worlds of Asia from Australia is the leaping off point for amazing wild stories. The strong currents along the Wallace Line creates parallel narratives of fascinating differences.,documentary,https://cdn.iview.abc.net.au/thumbs/i/do/DO1955H_619c51e12d498_3600.jpg,https://iview.abc.net.au/show/australia-remastered-nature-s-great-divide,documentary Australia Remastered: Nature's Great Divide The hard line that separates the natural worlds of Asia from Australia is the leaping off point for amazing wild stories. The strong currents along the Wallace Line creates parallel narratives of fascinating differences.,documentary australia remastered nature great divide hard line separate natural world asia australia leaping point amazing wild story strong current along wallace line creates parallel narrative fascinating difference,9
15,Just Between Us,"In this bold new series, each episode is a collection of themed short stories told by the people who lived them. Familiar and not so familiar faces reveal secrets and truths, and intimate family stories are shared.",documentary,https://cdn.iview.abc.net.au/thumbs/i/fr/FR2036H_6170b3e480f16_1920.jpg,https://iview.abc.net.au/show/just-between-us,"documentary Just Between Us In this bold new series, each episode is a collection of themed short stories told by the people who lived them. Familiar and not so familiar faces reveal secrets and truths, and intimate family stories are shared.",documentary u bold new series episode collection themed short story told people lived familiar familiar face reveal secret truth intimate family story shared,2
16,China's Artful Dissident,"Follows a Chinese political artist in exile, on a personal challenge to stop the Communist regime's whitewashing of history and abuse of human rights, and in the process, risking his family's freedom.",documentary,https://cdn.iview.abc.net.au/thumbs/i/ac/AC1811H001S00_607d68ddcce19_1280.jpg,https://iview.abc.net.au/show/china-s-artful-dissident/video/AC1811H001S00,"documentary China's Artful Dissident Follows a Chinese political artist in exile, on a personal challenge to stop the Communist regime's whitewashing of history and abuse of human rights, and in the process, risking his family's freedom.",documentary china artful dissident follows chinese political artist exile personal challenge stop communist regime whitewashing history abuse human right process risking family freedom,3
17,One Shot: An Image And An Attitude,Internationally renowned surf photographer Russell Ord has built a reputation for capturing incredible images of surfers on massive waves. Russell is a man on a quest - the one perfect shot.,documentary,https://cdn.iview.abc.net.au/thumbs/i/ac/AC1524W001S00_58cb584479a22_1280.jpg,https://iview.abc.net.au/show/one-shot-an-image-and-an-attitude/video/AC1524W001S00,documentary One Shot: An Image And An Attitude Internationally renowned surf photographer Russell Ord has built a reputation for capturing incredible images of surfers on massive waves. Russell is a man on a quest - the one perfect shot.,documentary one shot image attitude internationally renowned surf photographer russell ord built reputation capturing incredible image surfer massive wave russell man quest one perfect shot,5
18,David Attenborough's Global Adventure,"From the deep oceans in a state-of-the-art submarine on the Great Barrier Reef, to the ancient rainforests of Borneo, David Attenborough embarks on a unique natural history adventure across the globe and through time.",documentary,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3049A_612597104ecf7_3600.jpg,https://iview.abc.net.au/show/david-attenborough-s-global-adventure,"documentary David Attenborough's Global Adventure From the deep oceans in a state-of-the-art submarine on the Great Barrier Reef, to the ancient rainforests of Borneo, David Attenborough embarks on a unique natural history adventure across the globe and through time.",documentary david attenboroughs global adventure deep ocean stateoftheart submarine great barrier reef ancient rainforest borneo david attenborough embarks unique natural history adventure across globe time,1
19,Australian Story,"Putting the 'real' back into reality TV, the award-winning series with no narrator and no agendas, just authentic stories told in people's own words. For 25 years we have been telling the stories of extraordinary Australians.",documentary,https://cdn.iview.abc.net.au/thumbs/i/nc/NC2102Q_61f72309d6d18_3600.jpg,https://iview.abc.net.au/show/australian-story,"documentary Australian Story Putting the 'real' back into reality TV, the award-winning series with no narrator and no agendas, just authentic stories told in people's own words. For 25 years we have been telling the stories of extraordinary Australians.",documentary australian story putting real back reality tv awardwinning series narrator agenda authentic story told people word 25 year telling story extraordinary australian,9
20,Australia Remastered: Forces of Nature,"Hosted and narrated by Aaron Pedersen, this series explores the apocalyptic natural forces that nature inflicts upon Australia. As the climate changes, Australian wildlife must keep pace to survive.",documentary,https://cdn.iview.abc.net.au/thumbs/i/do/DO1843H_61e63b061838f.jpg,https://iview.abc.net.au/show/australia-remastered-forces-of-nature,"documentary Australia Remastered: Forces of Nature Hosted and narrated by Aaron Pedersen, this series explores the apocalyptic natural forces that nature inflicts upon Australia. As the climate changes, Australian wildlife must keep pace to survive.",documentary australia remastered force nature hosted narrated aaron pedersen series explores apocalyptic natural force nature inflicts upon australia climate change australian wildlife must keep pace survive,9
21,The Great Australian Bee Challenge,"In this two-part special, host Paul West challenges four families to successfully keep a honeybee hive, bringing these everyday Australians up close with the latest science about bee brains, communication and behaviour.",documentary,https://cdn.iview.abc.net.au/thumbs/i/sq/SQ1802H_5c3d31486f90b.jpg,https://iview.abc.net.au/show/great-australian-bee-challenge,"documentary The Great Australian Bee Challenge In this two-part special, host Paul West challenges four families to successfully keep a honeybee hive, bringing these everyday Australians up close with the latest science about bee brains, communication and behaviour.",documentary great australian bee challenge twopart special host paul west challenge four family successfully keep honeybee hive bringing everyday australian close latest science bee brain communication behaviour,9
22,The Art of Remembrance,Nate Byrne explores the role of paintings and sketches that represent the experiences of our service personnel and how visual art can help us to learn more about Australia's military history.,documentary,https://cdn.iview.abc.net.au/thumbs/i/rf/RF2009H001S00_6082437f5c064_1280.jpg,https://iview.abc.net.au/show/art-of-remembrance/video/RF2009H001S00,documentary The Art of Remembrance Nate Byrne explores the role of paintings and sketches that represent the experiences of our service personnel and how visual art can help us to learn more about Australia's military history.,documentary art remembrance nate byrne explores role painting sketch represent experience service personnel visual art help u learn australia military history,6
23,Our Dementia Choir,"Actor Vicky McClure recruits people with dementia to form a choir. And experts from medicine, music therapy and performance nurture and rehearse with them. This is a story where personal achievements meet breaking science.",documentary,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2655A_60137ae420d77_1280.jpg,https://iview.abc.net.au/show/our-dementia-choir,"documentary Our Dementia Choir Actor Vicky McClure recruits people with dementia to form a choir. And experts from medicine, music therapy and performance nurture and rehearse with them. This is a story where personal achievements meet breaking science.",documentary dementia choir actor vicky mcclure recruit people dementia form choir expert medicine music therapy performance nurture rehearse story personal achievement meet breaking science,4
24,Louis Theroux: Surviving America's Most Hated Family,Louis Theroux revisits the hugely controversial Westboro Baptist Church to investigate how its founder's death has affected current and former members.,documentary,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2588A001S00_60d170f7c224d.jpg,https://iview.abc.net.au/show/louis-theroux-surviving-america-s-most-hated-family/video/ZW2588A001S00,documentary Louis Theroux: Surviving America's Most Hated Family Louis Theroux revisits the hugely controversial Westboro Baptist Church to investigate how its founder's death has affected current and former members.,documentary louis theroux surviving america hated family louis theroux revisits hugely controversial westboro baptist church investigate founder death affected current former member,2
25,A Stargazer's Guide To The Cosmos (2018),"Charismatic astronomer Greg Quicke (aka Space Gandalf) takes us on the ultimate guided tour of the southern sky, revealing unseen connections between the everyday world around us and the stars above.",documentary,https://cdn.iview.abc.net.au/thumbs/i/do/DO1704W001S00_5af538aa693cc_1280.jpg,https://iview.abc.net.au/show/stargazer-s-guide-to-the-cosmos-2018/video/DO1704W001S00,"documentary A Stargazer's Guide To The Cosmos (2018) Charismatic astronomer Greg Quicke (aka Space Gandalf) takes us on the ultimate guided tour of the southern sky, revealing unseen connections between the everyday world around us and the stars above.",documentary stargazer guide cosmos 2018 charismatic astronomer greg quicke aka space gandalf take u ultimate guided tour southern sky revealing unseen connection everyday world around u star,9
26,The Rise Of The Murdoch Dynasty,The incredible story of Rupert Murdoch's influence on world events and the dramatic personal battle for power at the heart of his own family.,documentary,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2447A_5f5709f95bb23.jpg,https://iview.abc.net.au/show/rise-of-the-murdoch-dynasty,documentary The Rise Of The Murdoch Dynasty The incredible story of Rupert Murdoch's influence on world events and the dramatic personal battle for power at the heart of his own family.,documentary rise murdoch dynasty incredible story rupert murdoch influence world event dramatic personal battle power heart family,9
27,Bronwyn Oliver: The Shadows Within,"This intimate documentary follows the journey of Bronwyn Oliver, a working-class girl from the country who became one of Australia's most influential contemporary sculptors.",documentary,https://cdn.iview.abc.net.au/thumbs/i/ac/AC2014H001S00_6152912688858.jpg,https://iview.abc.net.au/show/bronwyn-oliver-the-shadows-within/video/AC2014H001S00,"documentary Bronwyn Oliver: The Shadows Within This intimate documentary follows the journey of Bronwyn Oliver, a working-class girl from the country who became one of Australia's most influential contemporary sculptors.",documentary bronwyn oliver shadow within intimate documentary follows journey bronwyn oliver workingclass girl country became one australia influential contemporary sculptor,2
28,The Crown and Us: The Story of The Royals in Australia,"The Crown is part of who we were and who we are - and despite the secrets, scandals and questions of relevance, our reverence for the British Royals remains as strong as ever. Why is that? And will it ever change?",documentary,https://cdn.iview.abc.net.au/thumbs/i/do/DO1715H_5c7c6b6cb641e_1280.jpg,https://iview.abc.net.au/show/crown-and-us-the-story-of-the-royals-in-australia,"documentary The Crown and Us: The Story of The Royals in Australia The Crown is part of who we were and who we are - and despite the secrets, scandals and questions of relevance, our reverence for the British Royals remains as strong as ever. Why is that? And will it ever change?",documentary crown u story royal australia crown part despite secret scandal question relevance reverence british royal remains strong ever ever change,2
29,Back To Earth: Stargazing Live,"Following each night's Stargazing Live broadcast on ABC, Back to Earth allows viewers to journey deeper into the ideas explored on the main show and ask questions of both Brian Cox and a panel of expert scientists.",documentary,https://cdn.iview.abc.net.au/thumbs/i/dc/DC1716H_5b0748dec66a1_1280.jpg,https://iview.abc.net.au/show/back-to-earth-stargazing-live,"documentary Back To Earth: Stargazing Live Following each night's Stargazing Live broadcast on ABC, Back to Earth allows viewers to journey deeper into the ideas explored on the main show and ask questions of both Brian Cox and a panel of expert scientists.",documentary back earth stargazing live following night stargazing live broadcast abc back earth allows viewer journey deeper idea explored main show ask question brian cox panel expert scientist,9
30,Making Of Micro Monsters with David Attenborough,"A thrilling voyage into a realm that's close to us yet quite inaccessible to the naked eye and confusing to human sensibilities - the strange, weird and wonderful world of bugs.",documentary,https://cdn.iview.abc.net.au/thumbs/i/zx/ZX9706A001S00_5fd9a1bc72d65_1920.jpg,https://iview.abc.net.au/show/making-of-micro-monsters-with-david-attenborough/video/ZX9706A001S00,"documentary Making Of Micro Monsters with David Attenborough A thrilling voyage into a realm that's close to us yet quite inaccessible to the naked eye and confusing to human sensibilities - the strange, weird and wonderful world of bugs.",documentary making micro monster david attenborough thrilling voyage realm thats close u yet quite inaccessible naked eye confusing human sensibility strange weird wonderful world bug,1
31,Midsomer Murders: 20th Anniversary Special,"Presented by John Nettles, the original DCI Barnaby, this anniversary special features stars past and present discussing the peculiar quirks of the delightful yet deadly county.",documentary,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2985A001S00_610a1bbe68516_1920.jpg,https://iview.abc.net.au/show/midsomer-murders-20th-anniversary-special/video/ZW2985A001S00,"documentary Midsomer Murders: 20th Anniversary Special Presented by John Nettles, the original DCI Barnaby, this anniversary special features stars past and present discussing the peculiar quirks of the delightful yet deadly county.",documentary midsomer murder 20th anniversary special presented john nettle original dci barnaby anniversary special feature star past present discussing peculiar quirk delightful yet deadly county,9
32,The Making of David Attenborough's Great Barrier Reef,Go behind-the-scenes of David Attenborough's landmark series Great Barrier Reef as he returns with the latest technology to explore this natural wonder 60 years after his first visit.,documentary,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW0221A001S00570aeed58eaf18.80892225_1280.jpg,https://iview.abc.net.au/show/making-of-david-attenborough-s-great-barrier-reef/video/ZW0221A001S00,documentary The Making of David Attenborough's Great Barrier Reef Go behind-the-scenes of David Attenborough's landmark series Great Barrier Reef as he returns with the latest technology to explore this natural wonder 60 years after his first visit.,documentary making david attenboroughs great barrier reef go behindthescenes david attenboroughs landmark series great barrier reef return latest technology explore natural wonder 60 year first visit,1
33,The Queen's Green Planet,"Her Majesty Queen Elizabeth talks to Sir David Attenborough about her ambitious legacy project the Queen's Commonwealth Canopy, aiming to create a global network of protected forests in all 53 Commonwealth countries.",documentary,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW1520A001S00_5fed52800938c_1920.jpg,https://iview.abc.net.au/show/queen-s-green-planet/video/ZW1520A001S00,"documentary The Queen's Green Planet Her Majesty Queen Elizabeth talks to Sir David Attenborough about her ambitious legacy project the Queen's Commonwealth Canopy, aiming to create a global network of protected forests in all 53 Commonwealth countries.",documentary queen green planet majesty queen elizabeth talk sir david attenborough ambitious legacy project queen commonwealth canopy aiming create global network protected forest 53 commonwealth country,1
34,War Stories,"The team from Landline bring you some of the best reporting on stories of war, survival and remembering.",documentary,https://cdn.iview.abc.net.au/thumbs/i/ra/RA2104Q_6082501b1e45a_1920.jpg,https://iview.abc.net.au/show/war-stories,"documentary War Stories The team from Landline bring you some of the best reporting on stories of war, survival and remembering.",documentary war story team landline bring best reporting story war survival remembering,2
35,Making Of David Attenborough's Natural History Museum Alive,Take a behind-the-scenes look at the making of the documentary David Attenborough's Natural History Museum Alive.,documentary,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2598A001S00_606299d30abb6_1920.jpg,https://iview.abc.net.au/show/making-of-david-attenborough-s-natural-history-museum-alive/video/ZW2598A001S00,documentary Making Of David Attenborough's Natural History Museum Alive Take a behind-the-scenes look at the making of the documentary David Attenborough's Natural History Museum Alive.,documentary making david attenboroughs natural history museum alive take behindthescenes look making documentary david attenboroughs natural history museum alive,1
36,Inside The Met,"Go behind the scenes as the largest art museum in the Americas plans its 150th anniversary, responds to the coronavirus pandemic and calls for social justice.",documentary,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2601A_60ff9cf4d47b8.jpg,https://iview.abc.net.au/show/inside-the-met,"documentary Inside The Met Go behind the scenes as the largest art museum in the Americas plans its 150th anniversary, responds to the coronavirus pandemic and calls for social justice.",documentary inside met go behind scene largest art museum america plan 150th anniversary responds coronavirus pandemic call social justice,9
37,Songs Of Praise: Faith And Hospitality,Katherine Jenkins visits L'Abri fellowship in Hampshire to explore Christian faith and hospitality. She finds out about L'Abri's history and meets a family from Australia who are volunteering there.,documentary,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3234A001S00_61f8aa6ad38d9.jpg,https://iview.abc.net.au/show/songs-of-praise-faith-and-hospitality/video/ZW3234A001S00,documentary Songs Of Praise: Faith And Hospitality Katherine Jenkins visits L'Abri fellowship in Hampshire to explore Christian faith and hospitality. She finds out about L'Abri's history and meets a family from Australia who are volunteering there.,documentary song praise faith hospitality katherine jenkins visit labri fellowship hampshire explore christian faith hospitality find labris history meet family australia volunteering,5
38,Dr Kwane: The Street Vet,"Dr Kwane is on a mission to help the pets and people of America who need it the most  the homeless. From treating simple ailments on the side of the road, to major emergencies.",documentary,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2973A_60b5ed2495396_1280.jpg,https://iview.abc.net.au/show/dr-kwane-the-street-vet,"documentary Dr Kwane: The Street Vet Dr Kwane is on a mission to help the pets and people of America who need it the most  the homeless. From treating simple ailments on the side of the road, to major emergencies.",documentary dr kwane street vet dr kwane mission help pet people america need homeless treating simple ailment side road major emergency,0
39,Hitting Home With Sarah Ferguson,Award-winning journalist Sarah Ferguson spends five months on the frontline of our national domestic violence crisis.,documentary,https://cdn.iview.abc.net.au/thumbs/i/do/DO1409H_5c3fbe21e5688_1280.jpg,https://iview.abc.net.au/show/hitting-home-with-sarah-ferguson,documentary Hitting Home With Sarah Ferguson Award-winning journalist Sarah Ferguson spends five months on the frontline of our national domestic violence crisis.,documentary hitting home sarah ferguson awardwinning journalist sarah ferguson spends five month frontline national domestic violence crisis,2
40,Making Child Prodigies,"Follow five extraordinarily talented Australian children and their families as we take an intimate and candid look at their lives at a pivotal time in their careers and ask, what does it take to be a child prodigy?",documentary,https://cdn.iview.abc.net.au/thumbs/i/ac/AC1703H_5b0b3ff352618_1280.jpg,https://iview.abc.net.au/show/making-child-prodigies,"documentary Making Child Prodigies Follow five extraordinarily talented Australian children and their families as we take an intimate and candid look at their lives at a pivotal time in their careers and ask, what does it take to be a child prodigy?",documentary making child prodigy follow five extraordinarily talented australian child family take intimate candid look life pivotal time career ask take child prodigy,5
41,Cracking COVID,"Tracking the real-time story of Australia's scientific response to the pandemic. As teams of scientists unlock the secrets of the virus, researchers work to build a vaccine, and patients confront symptoms of this new disease.",documentary,https://cdn.iview.abc.net.au/thumbs/i/do/DO2005V001S00_60d9334a88f4f_1920.jpg,https://iview.abc.net.au/show/cracking-covid/video/DO2005V001S00,"documentary Cracking COVID Tracking the real-time story of Australia's scientific response to the pandemic. As teams of scientists unlock the secrets of the virus, researchers work to build a vaccine, and patients confront symptoms of this new disease.",documentary cracking covid tracking realtime story australia scientific response pandemic team scientist unlock secret virus researcher work build vaccine patient confront symptom new disease,2
42,The China Century,"The forces that have powered China's rise are rarely explored, while the lives of Chinese people barely get a mention. Beyond the headlines what do we really know about China and its 1.4 billion citizens?",documentary,https://cdn.iview.abc.net.au/thumbs/i/do/DO1950H_61cd1e0378aaa_1920.jpg,https://iview.abc.net.au/show/china-century,"documentary The China Century The forces that have powered China's rise are rarely explored, while the lives of Chinese people barely get a mention. Beyond the headlines what do we really know about China and its 1.4 billion citizens?",documentary china century force powered china rise rarely explored life chinese people barely get mention beyond headline really know china 14 billion citizen,3
43,New Dads,Jane Caro meets five Australian men navigating their first year as new dads to see how they are managing the life changing transition into fatherhood.,documentary,https://cdn.iview.abc.net.au/thumbs/i/rn/RN1811H026S00_5d65d0d4bc496_1280.jpg,https://iview.abc.net.au/show/new-dads/video/RN1811H026S00,documentary New Dads Jane Caro meets five Australian men navigating their first year as new dads to see how they are managing the life changing transition into fatherhood.,documentary new dad jane caro meet five australian men navigating first year new dad see managing life changing transition fatherhood,2
44,Aussie Inventions That Changed the World,"From life-saving devices to modern conveniences, this eight-part series reveals a raft of great Australian inventors who turned game-changing ideas into a reality and forever changed how we live.",documentary,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2425A_6023608bc132a_1280.jpg,https://iview.abc.net.au/show/aussie-inventions-that-changed-the-world,"documentary Aussie Inventions That Changed the World From life-saving devices to modern conveniences, this eight-part series reveals a raft of great Australian inventors who turned game-changing ideas into a reality and forever changed how we live.",documentary aussie invention changed world lifesaving device modern convenience eightpart series reveals raft great australian inventor turned gamechanging idea reality forever changed live,9
45,Ready Together,"Craig Reucassel presents the stories of two communities devastated by Australia's black Summer bushfires, exploring how these communities are strengthening their capacity to respond and prepare for the future.",documentary,https://cdn.iview.abc.net.au/thumbs/i/do/DO2022H001S00_605d0e361b377.jpg,https://iview.abc.net.au/show/ready-together/video/DO2022H001S00,"documentary Ready Together Craig Reucassel presents the stories of two communities devastated by Australia's black Summer bushfires, exploring how these communities are strengthening their capacity to respond and prepare for the future.",documentary ready together craig reucassel present story two community devastated australia black summer bushfires exploring community strengthening capacity respond prepare future,6
46,Who Killed Belinda Peisley? Uncovered,"This 6-part series of digital extras takes the viewer deeper into the events of Belinda Peisley's murder case, including a closer look at the people and events surrounding Belinda at the time of her disappearance.",documentary,https://cdn.iview.abc.net.au/thumbs/i/dc/DC1709H_5b6a523c6385d_1280.jpg,https://iview.abc.net.au/show/who-killed-belinda-peisley-uncovered,"documentary Who Killed Belinda Peisley? Uncovered This 6-part series of digital extras takes the viewer deeper into the events of Belinda Peisley's murder case, including a closer look at the people and events surrounding Belinda at the time of her disappearance.",documentary killed belinda peisley uncovered 6part series digital extra take viewer deeper event belinda peisleys murder case including closer look people event surrounding belinda time disappearance,9
47,The School That Tried To End Racism (UK),A ground-breaking series following a pioneering British school as it tries to help its students uncover and eradicate hidden racial biases.,documentary,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3180A_61e63b0a75802.jpg,https://iview.abc.net.au/show/school-that-tried-to-end-racism-uk,documentary The School That Tried To End Racism (UK) A ground-breaking series following a pioneering British school as it tries to help its students uncover and eradicate hidden racial biases.,documentary school tried end racism uk groundbreaking series following pioneering british school try help student uncover eradicate hidden racial bias,5
